driver_id,order_id,start_price,ride_price,order_type_group,rating3,fromlatitude,fromlongitude,tolatitude,tolongitude
302414365,7828254005,550.0,550.0,city,4.809999942779541,60.9327392578125,76.61779022216797,60.9268684387207,76.59580993652344
302411164,7828275717,800.0,800.0,city,4.96999979019165,60.944332122802734,76.646728515625,60.890995025634766,76.64238739013672
47636613,7828692021,600.0,600.0,city,5.0,60.93291091918945,76.60276794433594,60.93717956542969,76.58267974853516
46799883,7828264665,600.0,600.0,city,4.690000057220459,60.92868041992188,76.60427856445312,60.94157028198242,76.58859252929688
47279152,7828390567,580.0,580.0,city,4.980000019073486,60.93156051635742,76.63240814208984,60.93898010253906,76.56401062011719
302412091,7828247494,550.0,550.0,city,4.96999979019165,60.92686080932617,76.58352661132812,60.92213821411133,76.59355163574219
8398159,7828257247,600.0,600.0,city,4.980000019073486,60.93608856201172,76.593017578125,60.93181991577149,76.56507873535156
8307478,7828442235,570.0,570.0,city,4.96999979019165,60.9327507019043,76.60913848876953,60.93893814086914,76.55602264404297
302415000,7828589122,560.0,560.0,city,4.949999809265137,60.95225143432617,76.59133911132812,60.940391540527344,76.57697296142578
8217436,7828699146,570.0,570.0,city,5.0,60.9392204284668,76.56118774414062,60.93328857421875,76.62555694580078
47250241,7828558576,520.0,520.0,city,4.96999979019165,60.94190216064453,76.55442810058594,60.939083099365234,76.57630920410156
46903650,7828621260,550.0,550.0,city,5.0,60.92723846435547,76.58451080322266,60.91946029663086,76.60710144042969
303203823,7828465849,750.0,750.0,city,4.949999809265137,60.89651870727539,76.65182495117188,60.939453125,76.58729553222656
47221750,7828190292,590.0,590.0,city,4.96999979019165,60.93144989013672,76.63026428222656,60.92954635620117,76.60152435302734
8356220,7828470983,550.0,550.0,city,5.0,60.92673873901367,76.6277084350586,60.92774963378906,76.60816955566406
8390469,7828584357,600.0,600.0,city,4.980000019073486,60.93750762939453,76.60780334472656,60.944095611572266,76.5360336303711
47515588,7828619917,600.0,600.0,city,4.980000019073486,60.93980026245117,76.55326843261719,60.95257186889648,76.59683227539062
8278149,7828262118,550.0,550.0,city,4.980000019073486,60.94625854492188,76.5905990600586,60.94239044189453,76.58466339111328
8407266,7828588326,550.0,550.0,city,5.0,60.9310302734375,76.60003662109375,60.92900085449219,76.55751037597656
8374906,7828287607,700.0,700.0,city,5.0,60.946903228759766,76.60846710205078,60.93722152709961,76.57332611083984
